Protein Identifier,AAC_A,AAC_R,AAC_N,AAC_D,AAC_C,AAC_Q,AAC_E,AAC_G,AAC_H,AAC_I,AAC_L,AAC_K,AAC_M,AAC_F,AAC_P,AAC_S,AAC_T,AAC_W,AAC_Y,AAC_V,VS111,VS211,VS311,VS411,VS511,VS611,VS711,VS121,VS221,VS321,VS421,VS521,VS621,VS721,VS131,VS231,VS331,VS431,VS531,VS631,VS731,VS141,VS241,VS341,VS441,VS541,VS641,VS741,VS151,VS251,VS351,VS451,VS551,VS651,VS751,VS161,VS261,VS361,VS461,VS561,VS661,VS761,VS171,VS271,VS371,VS471,VS571,VS671,VS771,VS112,VS212,VS312,VS412,VS512,VS612,VS712,VS122,VS222,VS322,VS422,VS522,VS622,VS722,VS132,VS232,VS332,VS432,VS532,VS632,VS732,VS142,VS242,VS342,VS442,VS542,VS642,VS742,VS152,VS252,VS352,VS452,VS552,VS652,VS752,VS162,VS262,VS362,VS462,VS562,VS662,VS762,VS172,VS272,VS372,VS472,VS572,VS672,VS772,VS113,VS213,VS313,VS413,VS513,VS613,VS713,VS123,VS223,VS323,VS423,VS523,VS623,VS723,VS133,VS233,VS333,VS433,VS533,VS633,VS733,VS143,VS243,VS343,VS443,VS543,VS643,VS743,VS153,VS253,VS353,VS453,VS553,VS653,VS753,VS163,VS263,VS363,VS463,VS563,VS663,VS763,VS173,VS273,VS373,VS473,VS573,VS673,VS773,VS114,VS214,VS314,VS414,VS514,VS614,VS714,VS124,VS224,VS324,VS424,VS524,VS624,VS724,VS134,VS234,VS334,VS434,VS534,VS634,VS734,VS144,VS244,VS344,VS444,VS544,VS644,VS744,VS154,VS254,VS354,VS454,VS554,VS654,VS754,VS164,VS264,VS364,VS464,VS564,VS664,VS764,VS174,VS274,VS374,VS474,VS574,VS674,VS774,VS115,VS215,VS315,VS415,VS515,VS615,VS715,VS125,VS225,VS325,VS425,VS525,VS625,VS725,VS135,VS235,VS335,VS435,VS535,VS635,VS735,VS145,VS245,VS345,VS445,VS545,VS645,VS745,VS155,VS255,VS355,VS455,VS555,VS655,VS755,VS165,VS265,VS365,VS465,VS565,VS665,VS765,VS175,VS275,VS375,VS475,VS575,VS675,VS775,VS116,VS216,VS316,VS416,VS516,VS616,VS716,VS126,VS226,VS326,VS426,VS526,VS626,VS726,VS136,VS236,VS336,VS436,VS536,VS636,VS736,VS146,VS246,VS346,VS446,VS546,VS646,VS746,VS156,VS256,VS356,VS456,VS556,VS656,VS756,VS166,VS266,VS366,VS466,VS566,VS666,VS766,VS176,VS276,VS376,VS476,VS576,VS676,VS776,VS117,VS217,VS317,VS417,VS517,VS617,VS717,VS127,VS227,VS327,VS427,VS527,VS627,VS727,VS137,VS237,VS337,VS437,VS537,VS637,VS737,VS147,VS247,VS347,VS447,VS547,VS647,VS747,VS157,VS257,VS357,VS457,VS557,VS657,VS757,VS167,VS267,VS367,VS467,VS567,VS667,VS767,VS177,VS277,VS377,VS477,VS577,VS677,VS777,PSSM_A,PSSM_R,PSSM_N,PSSM_D,PSSM_C,PSSM_Q,PSSM_E,PSSM_G,PSSM_H,PSSM_I,PSSM_L,PSSM_K,PSSM_M,PSSM_F,PSSM_P,PSSM_S,PSSM_T,PSSM_W,PSSM_Y,PSSM_V
B5MDF5,0.0815450643776824,0.03862660944206009,0.04291845493562232,0.06437768240343347,0.012875536480686695,0.03862660944206009,0.060085836909871244,0.06866952789699571,0.03862660944206009,0.04721030042918455,0.08583690987124463,0.07725321888412018,0.02575107296137339,0.04721030042918455,0.05150214592274678,0.02575107296137339,0.04721030042918455,0.012875536480686695,0.034334763948497854,0.09871244635193133,0,5,3,2,0,3,0,3,3,4,1,2,3,0,1,2,2,0,1,2,0,2,2,0,1,1,0,0,2,0,1,2,1,0,0,2,3,0,0,1,0,0,0,1,0,1,0,0,0,2,7,2,1,1,0,1,4,2,0,2,2,0,0,2,1,2,0,1,0,0,2,2,1,0,2,1,0,0,2,0,0,1,2,0,4,2,2,1,1,1,0,0,0,0,0,0,0,0,4,0,0,0,1,2,0,0,1,0,1,0,2,0,3,1,1,2,1,0,0,2,2,1,0,0,0,0,3,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,5,0,1,2,0,1,1,4,1,1,1,1,2,0,0,0,0,2,1,0,0,0,2,0,1,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,3,2,0,2,0,0,1,1,0,1,0,1,0,0,0,2,0,0,0,0,1,1,1,1,0,0,0,2,0,0,1,1,2,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,2,1,1,1,1,0,0,1,2,1,2,0,2,0,1,0,1,1,0,0,0,2,1,0,0,0,1,0,0,2,0,1,0,0,0,0,1,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.081896551724138,-1.1896551724137931,-1.2758620689655173,-1.2672413793103448,-1.853448275862069,-0.8405172413793104,-0.9310344827586207,-2.2456896551724137,-1.5517241379310345,-1.0862068965517242,-1.3103448275862069,-0.9224137931034483,-1.2844827586206897,-2.081896551724138,-2.0474137931034484,-0.8017241379310345,-0.9008620689655172,-3.3922413793103448,-1.9224137931034482,-1.0689655172413792
C9JNU6,0.10416666666666667,0.041666666666666664,0.010416666666666666,0.020833333333333332,0.0,0.020833333333333332,0.03125,0.11458333333333333,0.03125,0.0625,0.07291666666666667,0.07291666666666667,0.041666666666666664,0.08333333333333333,0.03125,0.07291666666666667,0.052083333333333336,0.0,0.041666666666666664,0.09375,3,5,2,0,1,0,0,5,2,0,0,0,0,0,2,0,1,0,1,1,0,1,1,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,1,3,1,0,1,0,4,2,1,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,1,1,0,0,0,0,0,1,1,1,0,1,0,0,1,1,0,0,0,0,0,1,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,1,0,0,1,1,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.2736842105263158,-0.6631578947368421,-1.2421052631578948,-1.4526315789473685,-2.0526315789473686,-0.5684210526315789,-0.7684210526315789,-1.3789473684210527,-1.431578947368421,-1.2421052631578948,-1.0105263157894737,-0.5894736842105263,-0.6105263157894737,-1.0210526315789474,-1.7789473684210526,-0.43157894736842106,-0.5473684210526316,-1.8736842105263158,-0.9473684210526315,-0.9578947368421052
C9JRZ6,0.10344827586206896,0.09051724137931035,0.02586206896551724,0.04310344827586207,0.021551724137931036,0.06465517241379311,0.14224137931034483,0.034482758620689655,0.021551724137931036,0.03017241379310345,0.07758620689655173,0.09913793103448276,0.017241379310344827,0.017241379310344827,0.008620689655172414,0.07327586206896551,0.04741379310344827,0.0,0.034482758620689655,0.04741379310344827,1,0,4,0,4,0,0,1,0,0,2,0,1,0,2,2,1,0,0,0,1,0,1,0,1,1,2,0,2,0,2,1,2,5,0,1,1,0,1,0,1,0,1,0,0,1,0,0,0,0,1,1,1,3,1,0,1,0,0,0,1,0,0,1,0,2,1,0,0,0,0,0,1,0,2,3,0,3,1,0,0,1,1,0,1,1,1,0,1,2,0,0,0,0,0,0,0,0,3,1,2,0,2,0,0,1,0,1,2,1,1,0,2,0,2,2,2,1,0,0,0,1,1,1,2,0,0,0,1,1,1,2,0,0,0,1,0,2,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,2,1,1,0,1,0,1,0,0,0,0,3,1,0,0,1,0,0,0,1,2,2,2,2,0,0,0,0,0,0,0,0,1,1,0,4,3,1,0,2,1,1,0,2,1,0,1,3,1,0,1,0,1,0,0,2,0,0,1,0,1,3,1,1,1,0,0,0,3,0,0,3,4,0,0,0,0,0,0,0,0,2,0,0,0,0,2,1,2,0,2,2,1,2,0,1,1,2,0,1,1,1,1,0,0,0,1,1,0,1,1,3,0,1,2,0,3,3,3,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.4069264069264069,0.47619047619047616,-0.6406926406926406,-0.5021645021645021,-2.220779220779221,0.8008658008658008,0.9090909090909091,-1.6277056277056277,-0.8268398268398268,-1.5064935064935066,-1.0909090909090908,0.5021645021645021,-0.8441558441558441,-2.0216450216450217,-1.4978354978354977,-0.2510822510822511,-0.5541125541125541,-2.5844155844155843,-1.4848484848484849,-1.2380952380952381
D4ABI7,0.04696132596685083,0.06353591160220995,0.03867403314917127,0.03038674033149171,0.008287292817679558,0.04419889502762431,0.06906077348066299,0.04143646408839779,0.024861878453038673,0.04143646408839779,0.13259668508287292,0.055248618784530384,0.03591160220994475,0.08287292817679558,0.04143646408839779,0.049723756906077346,0.04419889502762431,0.024861878453038673,0.049723756906077346,0.07458563535911603,3,1,1,2,1,1,0,3,11,3,2,0,2,0,0,2,0,2,1,1,0,2,3,2,0,1,2,0,1,3,1,2,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,10,1,2,1,0,0,3,10,8,5,2,2,0,4,9,2,3,1,4,0,3,4,5,1,3,0,0,4,1,1,1,2,2,0,1,5,2,0,1,0,0,1,0,1,0,0,0,0,1,3,0,3,2,1,0,6,4,5,3,4,2,1,1,3,2,0,1,1,0,0,2,2,0,0,0,1,0,3,0,0,1,0,0,3,3,2,1,1,2,0,0,0,0,0,0,0,0,0,2,2,3,1,1,0,3,2,4,0,2,1,0,3,4,3,0,0,2,0,1,0,2,1,0,0,0,1,1,2,2,0,1,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,1,3,2,0,2,0,0,0,2,1,4,1,1,0,1,2,0,0,1,0,0,3,1,1,1,2,1,0,0,1,0,3,4,1,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,1,1,0,0,2,1,0,2,1,1,2,2,1,1,1,4,1,0,0,4,0,0,1,0,1,1,0,0,2,0,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.6925207756232687,-1.080332409972299,-1.1745152354570638,-1.440443213296399,-1.9529085872576177,-0.817174515235457,-0.8864265927977839,-1.8393351800554016,-1.2520775623268698,-0.6925207756232687,-0.5761772853185596,-0.6980609418282548,-0.5401662049861495,-0.7063711911357341,-1.4930747922437673,-0.5872576177285319,-0.5124653739612188,-1.7229916897506925,-0.6121883656509696,-0.5346260387811634
E7EMK3,0.11594202898550725,0.043478260869565216,0.018633540372670808,0.045548654244306416,0.028985507246376812,0.06418219461697723,0.10351966873706005,0.060041407867494824,0.008281573498964804,0.06625258799171843,0.08902691511387163,0.07867494824016563,0.020703933747412008,0.018633540372670808,0.022774327122153208,0.039337474120082816,0.049689440993788817,0.012422360248447204,0.016563146997929608,0.09730848861283643,8,8,7,2,0,8,0,3,8,1,5,5,2,0,7,5,0,3,5,1,0,7,1,0,0,4,0,1,1,1,3,0,2,2,0,13,7,2,1,5,2,0,0,0,0,0,0,0,1,9,1,4,3,2,2,0,4,3,2,1,2,5,1,1,4,3,1,1,2,0,3,2,0,1,1,4,1,4,0,3,5,2,1,0,3,4,1,2,2,2,0,0,2,0,1,0,0,0,1,5,1,0,2,4,1,4,2,3,2,3,2,1,2,3,0,0,0,1,0,1,1,1,0,1,1,1,3,3,0,2,0,1,0,4,1,2,0,1,0,0,0,0,0,0,0,0,0,6,1,2,4,0,6,0,3,1,1,0,1,2,0,1,1,0,0,1,1,0,1,1,0,0,0,1,0,2,2,1,0,1,0,1,2,0,0,0,2,0,2,1,1,0,1,0,0,0,4,4,2,1,1,1,0,1,2,1,3,3,1,0,0,2,0,2,1,3,0,4,2,2,1,0,0,0,1,2,1,1,1,0,1,4,0,3,1,0,0,0,0,1,0,0,0,2,0,3,5,6,1,4,9,0,5,1,4,1,0,2,0,3,2,3,0,1,0,0,2,1,1,0,1,0,0,2,2,0,1,1,4,0,1,0,1,1,0,0,1,1,0,0,0,2,0,0,2,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0.0912863070539419,0.2157676348547718,-0.7468879668049793,-0.6431535269709544,-2.4688796680497926,0.6597510373443983,0.8464730290456431,-1.7427385892116183,-1.112033195020747,-0.9356846473029046,-0.6680497925311203,0.36721991701244816,-0.7759336099585062,-2.099585062240664,-1.9605809128630705,-0.44190871369294604,-0.49377593360995853,-2.854771784232365,-1.6244813278008299,-0.7800829875518672
E9PRG8,0.08130081300813008,0.14634146341463414,0.024390243902439025,0.032520325203252036,0.0,0.056910569105691054,0.07317073170731707,0.04878048780487805,0.024390243902439025,0.04065040650406504,0.0975609756097561,0.14634146341463414,0.024390243902439025,0.008130081300813009,0.04878048780487805,0.04878048780487805,0.04878048780487805,0.0,0.0,0.04878048780487805,3,1,1,0,1,0,0,1,0,0,0,2,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,2,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,2,1,0,1,0,0,0,2,0,0,0,1,0,0,0,0,0,1,1,0,2,0,0,0,1,1,1,1,3,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,1,0,3,2,1,0,0,2,0,0,1,1,0,1,2,0,0,2,0,0,1,4,0,1,7,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.36885245901639346,0.20491803278688525,-0.6311475409836066,-1.0737704918032787,-2.139344262295082,0.09016393442622951,-0.10655737704918032,-1.5901639344262295,-1.0655737704918034,-1.5655737704918034,-1.2377049180327868,0.3114754098360656,-0.7049180327868853,-2.2049180327868854,-1.0819672131147542,-0.1885245901639344,-0.47540983606557374,-2.721311475409836,-1.7377049180327868,-1.0081967213114753
F1MWF1,0.0499219968798752,0.04758190327613104,0.0421216848673947,0.05070202808112324,0.0265210608424337,0.039781591263650544,0.07254290171606864,0.06318252730109204,0.0187207488299532,0.05850234009360374,0.08970358814352575,0.06396255850234009,0.0234009360374415,0.031981279251170044,0.05070202808112324,0.07098283931357255,0.0655226209048362,0.01638065522620905,0.035101404056162244,0.08268330733229329,3,11,11,9,5,7,2,14,11,15,5,6,4,2,13,6,6,7,7,8,5,6,10,3,2,5,3,1,8,1,5,3,4,3,1,6,9,8,2,3,3,2,2,3,0,1,0,0,0,15,14,13,4,8,6,1,14,17,9,7,10,9,0,10,21,14,5,8,8,0,6,9,6,4,5,3,0,6,5,4,3,6,5,1,6,5,7,4,6,6,2,1,1,0,0,2,0,0,8,10,15,7,3,7,0,15,14,17,10,4,5,1,6,15,6,7,1,4,2,4,3,10,4,5,2,0,5,4,4,3,2,6,2,4,7,5,6,3,3,0,2,1,3,2,0,2,0,8,6,5,3,3,5,0,5,9,10,3,2,7,1,2,7,8,3,3,2,0,3,6,2,2,2,2,1,3,5,3,5,3,2,1,2,4,5,2,2,1,0,0,0,1,0,0,1,0,7,5,5,2,2,5,2,3,4,4,3,3,6,0,7,5,1,3,5,4,1,6,4,1,3,2,3,0,3,3,6,1,3,3,1,5,4,3,3,2,2,1,1,3,3,0,0,0,0,5,9,2,4,4,2,1,8,8,9,4,4,3,0,9,10,4,3,2,2,2,5,3,3,3,2,2,0,3,5,2,4,1,1,1,4,6,3,1,1,7,0,1,2,0,1,1,0,0,2,2,1,1,0,1,0,2,2,2,1,1,2,0,3,2,2,0,0,0,0,0,2,0,0,1,1,0,0,0,2,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,-0.8711943793911007,-0.7634660421545667,-0.8844652615144418,-1.0327868852459017,-1.7720530835284933,-0.6487119437939111,-0.5807962529274004,-1.484777517564403,-0.6893052302888368,-1.018735362997658,-1.0218579234972678,-0.8571428571428571,-0.9313036690085871,-1.3544106167056986,-0.7345823575331772,-0.2888368462138954,-0.3981264637002342,-2.1038251366120218,-1.1483216237314597,-0.6572989851678376
F5H5D3,0.0789980732177264,0.046242774566473986,0.04046242774566474,0.06165703275529865,0.030828516377649325,0.03275529865125241,0.07514450867052024,0.07707129094412331,0.025048169556840076,0.055876685934489405,0.07707129094412331,0.04238921001926782,0.019267822736030827,0.04816955684007707,0.046242774566473986,0.05394990366088632,0.06936416184971098,0.011560693641618497,0.04046242774566474,0.0674373795761079,7,3,7,4,3,4,0,5,3,4,4,1,5,1,2,9,6,3,1,4,1,4,6,2,0,2,1,0,2,2,2,1,1,1,0,4,2,1,1,1,5,0,0,0,0,0,0,1,0,7,6,5,3,1,1,1,2,2,4,6,1,1,1,3,6,4,4,3,1,1,2,5,4,1,2,2,0,2,2,1,2,1,3,0,7,8,2,1,1,1,1,2,0,1,1,0,2,1,1,3,3,2,1,1,0,5,8,6,1,3,9,2,4,4,2,3,1,0,1,2,5,3,3,0,1,0,2,1,2,0,2,1,0,2,0,1,0,1,3,1,1,0,1,1,0,0,0,3,3,1,0,2,3,0,6,3,4,2,1,1,0,1,6,2,2,0,0,0,3,0,1,0,0,0,0,1,1,1,0,1,0,0,3,4,0,1,0,0,0,1,0,0,0,0,0,0,1,3,5,3,0,2,0,3,0,3,0,1,1,0,0,2,2,0,3,1,0,1,1,0,0,0,1,0,2,1,2,0,0,0,1,1,3,2,0,0,0,0,0,1,0,0,0,0,0,8,3,4,1,2,3,0,3,1,1,3,4,3,3,1,6,0,1,0,1,0,0,0,1,0,0,1,1,4,1,0,0,1,1,0,4,1,2,0,3,1,0,1,0,0,0,1,0,0,1,2,1,2,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,-0.7722007722007722,-1.1737451737451738,-0.8378378378378378,-1.1756756756756757,-1.9768339768339769,-0.803088803088803,-0.9652509652509652,-1.6602316602316602,-1.2162162162162162,-1.3571428571428572,-1.308880308880309,-1.083011583011583,-0.9478764478764479,-1.557915057915058,-1.8552123552123552,-0.39575289575289574,-0.6505791505791506,-2.617760617760618,-1.3108108108108107,-1.2065637065637065
F8W1S1,0.09760589318600368,0.06629834254143646,0.03867403314917127,0.05156537753222836,0.014732965009208104,0.04788213627992634,0.08103130755064457,0.07918968692449356,0.016574585635359115,0.04788213627992634,0.10313075506445672,0.06629834254143646,0.01841620626151013,0.022099447513812154,0.027624309392265192,0.09760589318600368,0.03314917127071823,0.003683241252302026,0.027624309392265192,0.058931860036832415,15,6,6,1,4,2,1,5,4,4,1,3,9,0,8,5,7,2,0,2,0,2,3,2,3,1,1,0,7,1,1,3,2,3,0,5,3,3,0,2,0,0,0,0,1,0,0,0,0,6,5,5,2,1,1,0,2,1,4,1,4,2,2,6,1,4,0,3,3,0,2,2,1,2,4,2,0,3,3,1,2,2,1,0,7,5,2,5,3,4,1,2,1,0,0,1,0,0,7,7,4,2,3,1,0,2,2,4,3,1,1,2,5,6,5,0,6,1,0,2,1,3,0,1,0,0,3,3,3,1,2,0,1,1,6,2,0,2,1,0,0,0,0,0,0,0,0,1,2,3,0,2,1,0,3,4,1,2,1,6,0,1,2,2,1,1,2,0,0,4,1,2,0,2,0,0,1,3,0,3,0,0,4,1,1,0,1,0,0,0,0,0,0,0,0,0,4,2,0,5,3,2,0,5,1,2,3,1,4,0,3,0,3,3,1,2,0,2,5,0,1,0,1,0,2,3,2,2,1,0,1,2,2,0,2,0,0,0,0,0,0,1,0,1,0,2,3,5,2,4,6,0,2,4,2,3,2,5,0,1,1,2,1,2,2,0,1,2,2,0,1,1,0,1,3,1,1,1,2,0,3,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-0.22324723247232472,0.507380073800738,-0.6494464944649446,-0.9003690036900369,-2.1199261992619927,0.9760147601476015,1.0867158671586716,-1.7564575645756457,-0.8431734317343174,-1.6678966789667897,-0.6955719557195572,0.533210332103321,-0.7841328413284133,-2.743542435424354,-2.3265682656826567,0.2158671586715867,-0.5239852398523985,-3.422509225092251,-2.2988929889298895,-1.4428044280442804
G3H0F0,0.065149136577708,0.0565149136577708,0.04081632653061224,0.04709576138147567,0.01098901098901099,0.07456828885400314,0.08163265306122448,0.04552590266875981,0.03139717425431711,0.04395604395604396,0.08398744113029827,0.06828885400313972,0.018838304552590265,0.03532182103610675,0.06593406593406594,0.07456828885400314,0.047880690737833596,0.008634222919937205,0.033751962323390894,0.065149136577708,8,6,9,8,1,4,0,9,10,18,9,2,3,1,10,8,5,6,4,7,1,8,6,7,6,2,7,0,1,6,6,5,3,5,0,5,7,7,2,6,5,0,1,0,0,0,0,0,0,10,14,9,5,9,11,0,12,15,15,10,7,8,0,8,11,8,8,6,10,0,12,11,6,9,8,4,1,4,7,6,9,10,3,1,4,9,3,2,2,2,0,0,1,0,1,1,0,0,7,17,6,7,5,5,0,7,10,3,11,7,5,0,6,3,8,8,4,9,1,8,11,7,3,4,2,0,3,9,4,1,2,4,0,3,9,6,4,4,5,1,0,2,0,0,1,0,0,8,8,6,8,3,5,1,16,9,4,10,8,1,0,6,7,6,6,2,2,1,5,10,5,8,3,4,0,2,6,2,1,4,5,0,2,3,3,2,6,8,0,1,0,0,0,1,0,0,1,4,4,4,3,1,0,9,9,5,6,10,2,2,5,8,6,2,5,1,0,6,8,2,4,1,3,1,4,7,5,4,2,0,1,6,2,1,4,3,4,0,0,1,1,0,0,1,0,2,3,7,3,5,5,0,3,12,6,5,5,3,0,11,6,5,5,2,3,0,0,2,3,5,2,3,0,3,6,4,5,1,3,1,5,3,12,1,2,9,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,2,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.4626865671641791,-0.49725058915946585,-0.5333857030636292,-0.6213668499607227,-1.8263943440691282,-0.02670856245090338,-0.09662215239591516,-1.3558523173605657,-0.7486252945797329,-1.1099764336213669,-1.00471327572663,-0.211311861743912,-0.8279654359780048,-1.4116260801256872,-0.14454045561665357,-0.029065200314218383,-0.1272584446190102,-2.2058130400628437,-1.0604870384917517,-0.9143754909662215
G3V325,0.08277703604806408,0.06675567423230974,0.029372496662216287,0.044058744993324434,0.014686248331108143,0.0534045393858478,0.07343124165554073,0.06542056074766354,0.018691588785046728,0.02403204272363151,0.1321762349799733,0.06542056074766354,0.0267022696929239,0.04005340453938585,0.06809078771695594,0.056074766355140186,0.050734312416555405,0.012016021361815754,0.02403204272363151,0.0520694259012016,4,8,6,4,2,3,0,10,11,9,1,6,2,0,4,6,5,3,6,3,0,2,7,5,1,1,0,0,6,1,1,4,2,0,1,4,8,1,1,4,2,0,3,0,0,0,1,1,0,8,7,10,3,6,7,2,13,10,8,8,4,5,0,8,9,3,6,1,5,0,4,8,4,5,4,0,1,6,5,3,4,3,3,0,7,9,4,0,3,0,0,1,0,1,0,0,0,0,5,4,7,1,1,2,0,2,10,6,6,3,6,0,3,3,6,4,2,1,0,1,5,5,1,3,2,0,0,6,1,0,5,2,0,4,1,2,1,3,3,0,0,0,0,0,0,0,0,3,2,1,1,2,1,0,8,6,4,4,4,2,1,1,7,3,2,2,1,0,0,3,1,0,4,1,0,3,2,3,1,1,3,1,2,0,0,1,0,2,0,1,1,0,0,0,0,0,5,7,2,3,3,3,1,7,5,2,2,5,3,0,1,4,2,1,2,3,0,1,4,0,2,1,1,1,3,4,3,0,2,3,0,2,4,1,2,1,1,0,0,1,0,1,0,0,0,1,10,1,3,1,3,2,3,6,2,5,2,4,1,3,4,0,1,0,1,0,2,1,1,0,1,1,0,4,6,2,1,2,0,0,2,1,1,1,3,6,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-1.0628342245989304,-0.8823529411764706,-1.1991978609625669,-1.570855614973262,-0.7994652406417112,-1.5521390374331552,-1.03475935828877,-2.053475935828877,-1.0106951871657754,-0.8943850267379679,-0.4772727272727273,-0.7032085561497327,0.053475935828877004,-0.9585561497326203,-2.986631016042781,-0.45588235294117646,-1.4171122994652405,-2.0481283422459895,-1.0922459893048129,-0.7433155080213903
